relative_path,collection,plot_name,split,point_count,reference_tree_count,predicted_tree_count,true_positives,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,median_matched_iou,iou_threshold,coordinate_tolerance,runtime_seconds,peak_memory_gb,evaluation_runtime_seconds,status
CULS/plot_1_annotated.las,CULS,plot_1_annotated,dev,1816672,6,20,6,14,0,0.3,1.0,0.4615384615384615,0.8507299020473917,0.8617968304757124,0.5,0.02,128.0,6.3518524169921875,1.589138,completed
CULS/plot_2_annotated.las,CULS,plot_2_annotated,test,3946098,20,68,20,48,0,0.29411764705882354,1.0,0.45454545454545453,0.8494211542150124,0.856323237553205,0.5,0.02,291.0,6.658557891845703,5.56743,completed
CULS/plot_3_annotated.las,CULS,plot_3_annotated,dev,3084916,21,54,21,33,0,0.3888888888888889,1.0,0.56,0.8307696328740247,0.8399479505530254,0.5,0.02,232.0,6.496700286865234,4.416956,completed
NIBIO/plot_10_annotated.las,NIBIO,plot_10_annotated,dev,4066375,25,75,0,75,25,0.0,0.0,0.0,0.0,0.0,0.5,0.02,368.0,6.611072540283203,9.074388,completed
NIBIO/plot_11_annotated.las,NIBIO,plot_11_annotated,dev,6374998,29,73,0,73,29,0.0,0.0,0.0,0.0,0.0,0.5,0.02,536.0,7.310768127441406,17.74683,completed
NIBIO/plot_12_annotated.las,NIBIO,plot_12_annotated,dev,7866181,26,84,0,84,26,0.0,0.0,0.0,0.0,0.0,0.5,0.02,635.0,9.010730743408203,21.074308,completed
NIBIO/plot_13_annotated.las,NIBIO,plot_13_annotated,dev,6705567,35,108,0,108,35,0.0,0.0,0.0,0.0,0.0,0.5,0.02,569.0,7.685100555419922,14.942943,completed
NIBIO/plot_16_annotated.las,NIBIO,plot_16_annotated,dev,5460307,38,93,7,86,31,0.07526881720430108,0.18421052631578946,0.10687022900763357,0.5084813928497244,0.5032928942807625,0.5,0.02,472.0,6.820537567138672,12.658123,completed
NIBIO/plot_17_annotated.las,NIBIO,plot_17_annotated,test,6890118,30,86,1,85,29,0.011627906976744186,0.03333333333333333,0.017241379310344827,0.5193747964832303,0.5193747964832303,0.5,0.02,590.0,7.897785186767578,16.671597,completed
NIBIO/plot_18_annotated.las,NIBIO,plot_18_annotated,test,6915118,27,75,2,73,25,0.02666666666666667,0.07407407407407407,0.0392156862745098,0.5251403259657085,0.5251403259657085,0.5,0.02,565.0,7.925457000732422,13.53697,completed
NIBIO/plot_19_annotated.las,NIBIO,plot_19_annotated,dev,7061905,33,98,0,98,33,0.0,0.0,0.0,0.0,0.0,0.5,0.02,586.0,8.093364715576172,14.418515,completed
