method_slug,variant,run_id,dataset_split,plot_index,relative_path,collection,point_count,evaluated_point_count,predicted_instances,reference_instances,true_positives,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,mean_unweighted_coverage,mean_weighted_coverage,evaluation_protocol,matching_policy,evaluation_mask,iou_threshold,source_metrics_sha256
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,0,CULS/plot_2_annotated.las,CULS,3946098,2626802,68,20,20,48,0,0.29411764705882354,1.0,0.45454545454545453,0.976602030863474,0.976602030863474,0.9801531031512648,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,a7c8ac86aa8e97721d229a0a55811d3045c27868f8f202f4953ad1fde5ff9c9c
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,1,NIBIO/plot_17_annotated.las,NIBIO,6890118,6072285,86,30,28,58,2,0.32558139534883723,0.9333333333333333,0.4827586206896553,0.8908749256140475,0.8406081607272708,0.8921742750422373,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,f2beb9657fe16b05219353e965b0e8ba1640711fbd82389b59c0f0e8f75d6ec1
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,2,NIBIO/plot_18_annotated.las,NIBIO,6915118,5759586,75,27,26,49,1,0.3466666666666667,0.9629629629629629,0.5098039215686275,0.8675255548736749,0.8446499726592366,0.8925886497209216,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,f95ad6de327bdf3d5aa43384ef7e6a6b83b59d8b995ded11c6db2f03e7d3ccff
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,3,NIBIO/plot_1_annotated.las,NIBIO,5000698,4430224,74,37,23,51,14,0.3108108108108108,0.6216216216216216,0.41441441441441434,0.8286304358559545,0.5791187665570288,0.815448343280557,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,279587a70052d91e536fc6d6101352925521e97f437dd713fc543074de1565c3
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,4,NIBIO/plot_22_annotated.las,NIBIO,6366607,5349475,67,20,18,49,2,0.26865671641791045,0.9,0.41379310344827586,0.8821436727777032,0.8030195170161892,0.8994421582909354,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,96dd3f4cf6fb86b0da0f0c6e7e1808e53bb79ab44887c92cab166c5149c933de
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,5,NIBIO/plot_23_annotated.las,NIBIO,6163377,5215078,86,28,23,63,5,0.26744186046511625,0.8214285714285714,0.40350877192982454,0.8282370365390691,0.7112446391607652,0.8489088918350517,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,0f6f75e023df10a9af8854fee1c6cb88f814c7d8f5548b61ec8a1756277f40f8
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,6,NIBIO/plot_5_annotated.las,NIBIO,5223631,4094734,71,19,15,56,4,0.2112676056338028,0.7894736842105263,0.33333333333333337,0.8551574080750268,0.7178113063884348,0.8297461029759279,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,d5e99f87daca1e9e4a367d6546e71cd460f9c791c1949b2b14da3ae6eee9428a
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,7,RMIT/test.las,RMIT,357435,202828,88,64,38,50,26,0.4318181818181818,0.59375,0.5,0.8165401196293979,0.5501978686396829,0.7075342459455466,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,c853de9dc62717605cdcd316602b0cb9e8a347fb1bc5b4567b37d2341bc87afd
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,8,SCION/plot_31_annotated.las,SCION,2977537,2676371,49,25,21,28,4,0.42857142857142855,0.84,0.5675675675675675,0.9007004519640883,0.8224884551064409,0.8747782198709302,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,ed299c78a56add9dfa082a7dc74d9e591669b51049bf4d5f4bdebabc687702cc
segmentanytree,published_pretrained,segmentanytree_for-instance_published_pretrained_20260710_231601,test,9,SCION/plot_61_annotated.las,SCION,3589254,3312812,35,18,16,19,2,0.45714285714285713,0.8888888888888888,0.6037735849056604,0.9011547009980485,0.8166051485704207,0.8989328967232707,for_instance_pointwise_v1,maximum_cardinality_one_to_one,union_of_reference_tree_and_predicted_tree_points,0.5,1bafe19b3539dfa540313c8890c01e3b3b2b5a44e6c80d63f5e91736527d7c87
