candidate_index,candidate_id,add_leaves_voxel_length,add_leaves_edge_length,stage0_index,collection,safe_plot_id,relative_path,target,status,safe_for_scoring,prediction_instance_count,reference_instance_count,true_positives,false_positives,false_negatives,precision,recall,f1,mean_matched_iou,oversegmented_reference_count,undersegmented_prediction_count,ignored_class3_predicted_point_count,instance_runtime_seconds,instance_peak_rss_gb,adapter_runtime_seconds,metrics_sha256,error
0,leaf_v025_e05,0.25,0.5,0,CULS,CULS_plot_1_annotated,CULS/plot_1_annotated.las,leaf_on,evaluated,True,3,6,3,0,3,1.0,0.5,0.6666666666666666,0.9886984309388117,0,0,8905,420.270236,0.904372,4.643654,6ae65f075b52d15d66e0afba731d3919e8eaba2ed1e3310be3ce1d5638d6279d,
0,leaf_v025_e05,0.25,0.5,1,NIBIO,NIBIO_plot_3_annotated,NIBIO/plot_3_annotated.las,leaf_on,evaluated,True,0,26,0,0,26,0.0,0.0,0.0,0.0,0,0,0,48.619412,1.090256,6.876701,8c0ce981322d237dbf7f02f4a6491b18621bdd6419e1701453f5285a61552e77,
0,leaf_v025_e05,0.25,0.5,2,RMIT,RMIT_train,RMIT/train.las,leaf_on,evaluated,True,2,159,0,2,159,0.0,0.0,0.0,0.0,0,1,20880,779.960052,1.62798,4.007256,1172ef06c71e0d0a013c5de983a78996c6b394fb651fe5023dd2e2daa80fce81,
0,leaf_v025_e05,0.25,0.5,3,SCION,SCION_plot_35_annotated,SCION/plot_35_annotated.las,leaf_on,evaluated,True,0,23,0,0,23,0.0,0.0,0.0,0.0,0,0,0,37.424233,0.778532,5.712578,eb67426ec4470b3329085ed645b1e0e7a98698e7d906a4d14338bc8452471646,
0,leaf_v025_e05,0.25,0.5,4,TUWIEN,TUWIEN_train,TUWIEN/train.las,leaf_on,evaluated,True,2,115,0,2,115,0.0,0.0,0.0,0.0,11,2,1031846,1797.845119,7.857416,384.806945,7e2cbd08474a46afca5d8ef8c8c9ee882fec01573c65f7ea541e7935d0795b85,
1,leaf_v025_e10,0.25,1.0,0,CULS,CULS_plot_1_annotated,CULS/plot_1_annotated.las,leaf_on,evaluated,True,3,6,3,0,3,1.0,0.5,0.6666666666666666,0.9886984309388117,0,0,8905,418.386901,0.904612,4.535002,ead57ba665517da19c15b45e745b8aba6741a7d024553a8df7885e3d6ebaa227,
1,leaf_v025_e10,0.25,1.0,1,NIBIO,NIBIO_plot_3_annotated,NIBIO/plot_3_annotated.las,leaf_on,evaluated,True,0,26,0,0,26,0.0,0.0,0.0,0.0,0,0,0,57.109491,1.089996,7.874435,ecd40229b24b44669af50d69e1e5b0e96a4b62e1bf4d260214d1f8eb7a66820e,
1,leaf_v025_e10,0.25,1.0,2,RMIT,RMIT_train,RMIT/train.las,leaf_on,evaluated,True,2,159,0,2,159,0.0,0.0,0.0,0.0,0,2,35778,780.425834,1.62646,3.886833,3ce21d71040fcdeb14e5e66feebf177a1cca5d883818250aff65ccef2a329a14,
1,leaf_v025_e10,0.25,1.0,3,SCION,SCION_plot_35_annotated,SCION/plot_35_annotated.las,leaf_on,evaluated,True,0,23,0,0,23,0.0,0.0,0.0,0.0,0,0,0,36.296397,0.778044,5.078332,a0f7d5ebdb70371a270e4bb2e6942cb9fbb37f73bb44355ab102db1f116df0f5,
1,leaf_v025_e10,0.25,1.0,4,TUWIEN,TUWIEN_train,TUWIEN/train.las,leaf_on,evaluated,True,2,115,0,2,115,0.0,0.0,0.0,0.0,11,2,1032064,1686.67721,7.8581,411.03291,f73ca3b0541bd83653593b8ebc16ddda567d0415f5b0828fa402cf2d1544e067,
