plot_id,total_points,tree_class_points,reference_tree_count_tree_classes,predicted_instances,elapsed_seconds,reference_trees,predicted_trees_harmonized_union_mask,predicted_trees_on_reference_labelled_mask,true_positives_labelled_mask,false_positives_labelled_mask,false_negatives_labelled_mask,precision_labelled_mask,recall_labelled_mask,f1_labelled_mask,mean_matched_iou_labelled_mask,median_matched_iou_labelled_mask,true_positives_harmonized,false_positives_harmonized,false_negatives_harmonized,precision_harmonized,recall_harmonized,f1_harmonized,mean_matched_iou_harmonized,median_matched_iou_harmonized,split,site
CULS/plot_3_annotated,3084916,1045496,21,37,11.49672254314646,21,37,26,21,5,0,0.8076923076923077,1.0,0.8936170212765957,0.9639832220393606,0.990713292215182,21,16,0,0.5675675675675675,1.0,0.7241379310344828,0.9484279170003992,0.9862895390262334,dev,CULS
CULS/plot_1_annotated,1816672,379167,6,11,5.492275036871433,6,11,6,6,0,0,1.0,1.0,1.0,0.9999330376107708,0.9999941606521384,6,5,0,0.5454545454545454,1.0,0.7058823529411765,0.9731213980965548,0.9942596866305684,dev,CULS
SCION/plot_31_annotated,2977537,2028347,25,29,34.128422745037824,25,29,26,16,10,9,0.6153846153846154,0.64,0.6274509803921569,0.8404749770954182,0.8714944941119085,16,13,9,0.5517241379310345,0.64,0.5925925925925926,0.8015884083383253,0.8264728665776523,test,SCION
CULS/plot_2_annotated,3946098,1252762,20,49,21.26173205114901,20,49,28,20,8,0,0.7142857142857143,1.0,0.8333333333333334,0.9404867333559376,0.9517543709432368,20,29,0,0.4081632653061224,1.0,0.5797101449275363,0.9384354128263748,0.9469902723567962,test,CULS
SCION/plot_61_annotated,3589254,2103561,18,23,22.90869616996497,18,23,22,11,11,7,0.5,0.6111111111111112,0.55,0.828488613793328,0.8742442186623449,10,13,8,0.4347826086956521,0.5555555555555556,0.4878048780487805,0.8172652085512151,0.8115489846381737,test,SCION
NIBIO/plot_17_annotated,6890118,2610198,30,83,80.93408857285976,30,83,48,25,23,5,0.5208333333333334,0.8333333333333334,0.6410256410256411,0.8145772309023371,0.8760303562178446,24,59,6,0.2891566265060241,0.8,0.4247787610619469,0.7656396146354781,0.7672471486160339,test,NIBIO
NIBIO/plot_18_annotated,6915118,2064772,27,70,77.56435011327267,27,70,36,20,16,7,0.5555555555555556,0.7407407407407407,0.6349206349206349,0.8544072268762868,0.9426571509521312,20,50,7,0.2857142857142857,0.7407407407407407,0.4123711340206185,0.8059211579779617,0.8393309758803489,test,NIBIO
NIBIO/plot_8_annotated,5269942,2130258,22,61,67.50569575931877,22,61,43,18,25,4,0.4186046511627907,0.8181818181818182,0.5538461538461539,0.8660182401747624,0.8651784059747611,17,44,5,0.2786885245901639,0.7727272727272727,0.4096385542168674,0.7760954253277633,0.8126018292978013,dev,NIBIO
NIBIO/plot_13_annotated,6705567,2250143,35,98,93.24899175111204,35,98,50,28,22,7,0.56,0.8,0.6588235294117647,0.7729469229496427,0.8026592012604503,27,71,8,0.2755102040816326,0.7714285714285715,0.4060150375939849,0.7218019290143529,0.7410583009611069,dev,NIBIO
SCION/plot_87_annotated,3311297,2211248,21,30,33.97036256408319,21,30,29,14,15,7,0.4827586206896552,0.6666666666666666,0.56,0.7087486990072469,0.6691685485940855,10,20,11,0.3333333333333333,0.4761904761904761,0.392156862745098,0.7228583173756633,0.686503266229247,dev,SCION
NIBIO/plot_23_annotated,6163377,2264782,28,76,72.84137726109475,28,76,51,22,29,6,0.4313725490196078,0.7857142857142857,0.5569620253164557,0.8228804973578284,0.8132034892967817,20,56,8,0.2631578947368421,0.7142857142857143,0.3846153846153846,0.7910732767205648,0.8105549235614465,test,NIBIO
NIBIO/plot_21_annotated,5846863,2144181,23,68,81.88653986994177,23,68,35,17,18,6,0.4857142857142857,0.7391304347826086,0.5862068965517241,0.8107466459468752,0.8606838883081978,17,51,6,0.25,0.7391304347826086,0.3736263736263736,0.7573285746905924,0.8191196952662225,dev,NIBIO
NIBIO/plot_16_annotated,5460307,2131260,38,93,74.38404838601127,38,93,56,24,32,14,0.4285714285714285,0.631578947368421,0.5106382978723404,0.8174614847409383,0.8905021176618673,24,69,14,0.2580645161290322,0.631578947368421,0.366412213740458,0.7874905762081038,0.8592956624435837,dev,NIBIO
NIBIO/plot_1_annotated,5000698,2349911,37,82,54.07704505184665,37,82,57,23,34,14,0.4035087719298245,0.6216216216216216,0.4893617021276595,0.7606870909673445,0.7917087967644085,21,61,16,0.2560975609756097,0.5675675675675675,0.3529411764705882,0.7430180467044374,0.7584620440354913,test,NIBIO
TUWIEN/train,7568844,4582923,115,111,72.22777220001444,115,111,82,45,37,70,0.5487804878048781,0.391304347826087,0.4568527918781725,0.739703056456318,0.7256137301759722,39,72,76,0.3513513513513513,0.3391304347826087,0.3451327433628318,0.7284346563264479,0.7531608278300149,dev,TUWIEN
