plot_id,split,total_points,tree_class_points,reference_tree_count_tree_classes,predicted_instances,elapsed_seconds
CULS/plot_1_annotated,dev,1816672,379167,6,11,5.492275036871433
CULS/plot_3_annotated,dev,3084916,1045496,21,37,11.49672254314646
NIBIO/plot_10_annotated,dev,4066375,1559490,25,76,31.2529946048744
NIBIO/plot_11_annotated,dev,6374998,2968124,29,64,88.61121408082545
NIBIO/plot_12_annotated,dev,7866181,3053159,26,80,103.80879965098576
NIBIO/plot_13_annotated,dev,6705567,2250143,35,98,93.24899175111204
NIBIO/plot_16_annotated,dev,5460307,2131260,38,93,74.38404838601127
NIBIO/plot_19_annotated,dev,7061905,2147286,33,91,95.13824223121628
NIBIO/plot_21_annotated,dev,5846863,2144181,23,68,81.88653986994177
NIBIO/plot_2_annotated,dev,5027570,2452830,40,78,67.86204183427617
NIBIO/plot_3_annotated,dev,5302422,2300769,26,69,73.2486510281451
NIBIO/plot_4_annotated,dev,5762467,2170962,25,86,76.07677888404578
NIBIO/plot_6_annotated,dev,4551358,1616574,44,101,58.82705089915544
NIBIO/plot_7_annotated,dev,4943818,1589212,29,96,59.68704513600096
NIBIO/plot_8_annotated,dev,5269942,2130258,22,61,67.50569575931877
NIBIO/plot_9_annotated,dev,5195391,1765143,19,105,62.90644210064784
RMIT/train,dev,1483208,685954,159,40,15.563565777149051
SCION/plot_35_annotated,dev,3184258,2161499,23,9,17.449096449185163
SCION/plot_39_annotated,dev,1884678,1318823,48,16,13.222555859945714
SCION/plot_87_annotated,dev,3311297,2211248,21,30,33.97036256408319
TUWIEN/train,dev,7568844,4582923,115,111,72.22777220001444
CULS/plot_2_annotated,test,3946098,1252762,20,49,21.26173205114901
NIBIO/plot_17_annotated,test,6890118,2610198,30,83,80.93408857285976
NIBIO/plot_18_annotated,test,6915118,2064772,27,70,77.56435011327267
NIBIO/plot_1_annotated,test,5000698,2349911,37,82,54.07704505184665
NIBIO/plot_22_annotated,test,6366607,2234385,20,67,69.24949477985501
NIBIO/plot_23_annotated,test,6163377,2264782,28,76,72.84137726109475
NIBIO/plot_5_annotated,test,5223631,1820639,19,82,55.31427412526682
RMIT/test,test,357435,178761,64,19,4.014177145436406
SCION/plot_31_annotated,test,2977537,2028347,25,29,34.128422745037824
SCION/plot_61_annotated,test,3589254,2103561,18,23,22.90869616996497
TUWIEN/test,test,2280049,1135698,35,73,27.20318434201181
