split,site,n_plots,total_reference_trees,total_predicted_trees_harmonized,total_tp_harmonized,total_fp_harmonized,total_fn_harmonized,mean_plot_f1_harmonized,median_plot_f1_harmonized,min_plot_f1_harmonized,max_plot_f1_harmonized,total_predicted_trees_labelled_mask,total_tp_labelled_mask,total_fp_labelled_mask,total_fn_labelled_mask,mean_plot_f1_labelled_mask,median_plot_f1_labelled_mask,min_plot_f1_labelled_mask,max_plot_f1_labelled_mask,mean_of_plot_mean_matched_iou_harmonized,median_of_plot_mean_matched_iou_harmonized,mean_runtime_seconds,total_runtime_seconds,micro_precision_harmonized,micro_recall_harmonized,micro_f1_harmonized,micro_precision_labelled_mask,micro_recall_labelled_mask,micro_f1_labelled_mask
dev,CULS,2,27,48,27,21,0,0.7150101419878296,0.7150101419878296,0.7058823529411765,0.7241379310344828,32,27,5,0,0.9468085106382979,0.9468085106382979,0.8936170212765957,1.0,0.960774657548477,0.960774657548477,8.494498790008947,16.988997580017895,0.5625,1.0,0.72,0.84375,1.0,0.9152542372881356
dev,NIBIO,14,414,1166,229,937,185,0.2938695575192005,0.28804017041996344,0.176,0.4096385542168674,675,241,434,173,0.44622764032880907,0.43619047619047613,0.2553191489361702,0.6588235294117647,0.7416604637543027,0.7371609414359214,73.88889544403979,1034.444536216557,0.19639794168096056,0.5531400966183575,0.289873417721519,0.35703703703703704,0.5821256038647343,0.4426078971533517
dev,RMIT,1,159,40,10,30,149,0.100502512562814,0.100502512562814,0.100502512562814,0.100502512562814,33,12,21,147,0.125,0.125,0.125,0.125,0.8385613427076244,0.8385613427076244,15.563565777149051,15.563565777149051,0.25,0.06289308176100629,0.10050251256281408,0.36363636363636365,0.07547169811320754,0.125
dev,SCION,3,92,55,17,38,75,0.20363562091503265,0.21875,0.0,0.392156862745098,51,25,26,67,0.3030687830687831,0.3492063492063492,0.0,0.56,0.49260579626854134,0.7228583173756633,21.547338291071355,64.64201487321407,0.3090909090909091,0.18478260869565216,0.23129251700680273,0.49019607843137253,0.2717391304347826,0.34965034965034963
dev,TUWIEN,1,115,111,39,72,76,0.3451327433628318,0.3451327433628318,0.3451327433628318,0.3451327433628318,82,45,37,70,0.4568527918781725,0.4568527918781725,0.4568527918781725,0.4568527918781725,0.7284346563264479,0.7284346563264479,72.22777220001444,72.22777220001444,0.35135135135135137,0.3391304347826087,0.34513274336283184,0.5487804878048781,0.391304347826087,0.45685279187817257
test,CULS,1,20,49,20,29,0,0.5797101449275363,0.5797101449275363,0.5797101449275363,0.5797101449275363,28,20,8,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9384354128263748,0.9384354128263748,21.26173205114901,21.26173205114901,0.40816326530612246,1.0,0.5797101449275363,0.7142857142857143,1.0,0.8333333333333334
test,NIBIO,6,161,460,108,352,53,0.34632498065993217,0.3687782805429864,0.1584158415841584,0.4247787610619469,279,114,165,47,0.5163379298579945,0.5451476793248945,0.2424242424242424,0.6410256410256411,0.7750563475089646,0.7735201840157826,68.33010498403262,409.98062990419567,0.23478260869565218,0.6708074534161491,0.34782608695652173,0.40860215053763443,0.7080745341614907,0.5181818181818182
test,RMIT,1,64,19,9,10,55,0.216867469879518,0.216867469879518,0.216867469879518,0.216867469879518,17,11,6,53,0.2716049382716049,0.2716049382716049,0.2716049382716049,0.2716049382716049,0.8964955219132982,0.8964955219132982,4.014177145436406,4.014177145436406,0.47368421052631576,0.140625,0.21686746987951808,0.6470588235294118,0.171875,0.2716049382716049
test,SCION,2,43,52,26,26,17,0.5401987353206865,0.5401987353206865,0.4878048780487805,0.5925925925925926,48,27,21,16,0.5887254901960784,0.5887254901960784,0.55,0.6274509803921569,0.8094268084447702,0.8094268084447702,28.518559457501397,57.03711891500279,0.5,0.6046511627906976,0.5473684210526316,0.5625,0.627906976744186,0.5934065934065934
test,TUWIEN,1,35,73,14,59,21,0.2592592592592592,0.2592592592592592,0.2592592592592592,0.2592592592592592,42,14,28,21,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.7372842800514755,0.7372842800514755,27.20318434201181,27.20318434201181,0.1917808219178082,0.4,0.25925925925925924,0.3333333333333333,0.4,0.36363636363636365
