plot_id,total_points,tree_class_points,reference_tree_count_tree_classes,predicted_instances,elapsed_seconds,reference_trees,predicted_trees_harmonized_union_mask,predicted_trees_on_reference_labelled_mask,true_positives_labelled_mask,false_positives_labelled_mask,false_negatives_labelled_mask,precision_labelled_mask,recall_labelled_mask,f1_labelled_mask,mean_matched_iou_labelled_mask,median_matched_iou_labelled_mask,true_positives_harmonized,false_positives_harmonized,false_negatives_harmonized,precision_harmonized,recall_harmonized,f1_harmonized,mean_matched_iou_harmonized,median_matched_iou_harmonized,split,site
SCION/plot_35_annotated,3184258,2161499,23,9,17.449096449185163,23,9,7,0,7,23,0.0,0.0,0.0,0.0,0.0,0,9,23,0.0,0.0,0.0,0.0,0.0,dev,SCION
RMIT/train,1483208,685954,159,40,15.563565777149051,159,40,33,12,21,147,0.3636363636363636,0.0754716981132075,0.125,0.8569498318301783,0.9091626095423564,10,30,149,0.25,0.0628930817610062,0.100502512562814,0.8385613427076244,0.8444841349185598,dev,RMIT
NIBIO/plot_5_annotated,5223631,1820639,19,82,55.31427412526682,19,82,47,8,39,11,0.1702127659574468,0.4210526315789473,0.2424242424242424,0.7970969849339539,0.8092973456178001,8,74,11,0.0975609756097561,0.4210526315789473,0.1584158415841584,0.763285235619259,0.7518230558819632,test,NIBIO
NIBIO/plot_7_annotated,4943818,1589212,29,96,59.68704513600096,29,96,46,12,34,17,0.2608695652173913,0.4137931034482758,0.32,0.8217092256989239,0.8652482978295157,11,85,18,0.1145833333333333,0.3793103448275862,0.176,0.8197287572801333,0.8746634759198325,dev,NIBIO
NIBIO/plot_9_annotated,5195391,1765143,19,105,62.90644210064784,19,105,50,12,38,7,0.24,0.631578947368421,0.3478260869565217,0.7560699152854511,0.7743972527573548,12,93,7,0.1142857142857142,0.631578947368421,0.1935483870967742,0.6703545537063866,0.6814179987238982,dev,NIBIO
NIBIO/plot_2_annotated,5027570,2452830,40,78,67.86204183427617,40,78,54,12,42,28,0.2222222222222222,0.3,0.2553191489361702,0.7439524450347935,0.7271822356472835,12,66,28,0.1538461538461538,0.3,0.2033898305084746,0.6985009312068139,0.7032928308764094,dev,NIBIO
RMIT/test,357435,178761,64,19,4.014177145436406,64,19,17,11,6,53,0.6470588235294118,0.171875,0.2716049382716049,0.8730110831608251,0.9392318911035488,9,10,55,0.4736842105263157,0.140625,0.216867469879518,0.8964955219132982,0.9637243047158404,test,RMIT
SCION/plot_39_annotated,1884678,1318823,48,16,13.222555859945714,48,16,15,11,4,37,0.7333333333333333,0.2291666666666666,0.3492063492063492,0.7480896454072997,0.7247147225164372,7,9,41,0.4375,0.1458333333333333,0.21875,0.7549590714299609,0.7659421930420346,dev,SCION
NIBIO/plot_6_annotated,4551358,1616574,44,101,58.82705089915544,44,101,61,22,39,22,0.360655737704918,0.5,0.419047619047619,0.773741883131461,0.7874470187187957,17,84,27,0.1683168316831683,0.3863636363636363,0.2344827586206896,0.7225416790569068,0.6807248472685418,dev,NIBIO
NIBIO/plot_3_annotated,5302422,2300769,26,69,73.2486510281451,26,69,45,12,33,14,0.2666666666666666,0.4615384615384615,0.3380281690140845,0.7833446208948094,0.7963795940314834,12,57,14,0.1739130434782608,0.4615384615384615,0.2526315789473684,0.7516905446296342,0.7515555256523094,dev,NIBIO
NIBIO/plot_10_annotated,4066375,1559490,25,76,31.2529946048744,25,76,45,13,32,12,0.2888888888888888,0.52,0.3714285714285714,0.7157236694269814,0.7124464831804281,13,63,12,0.1710526315789473,0.52,0.2574257425742574,0.6921074276756811,0.7020763644034596,dev,NIBIO
TUWIEN/test,2280049,1135698,35,73,27.20318434201181,35,73,42,14,28,21,0.3333333333333333,0.4,0.3636363636363636,0.7706658681108376,0.738700057964299,14,59,21,0.1917808219178082,0.4,0.2592592592592592,0.7372842800514755,0.7088084239169883,test,TUWIEN
NIBIO/plot_19_annotated,7061905,2147286,33,91,95.13824223121628,33,91,53,18,35,15,0.3396226415094339,0.5454545454545454,0.4186046511627907,0.7679203680472378,0.78414714420396,17,74,16,0.1868131868131868,0.5151515151515151,0.2741935483870967,0.7137360314187169,0.7468071519795658,dev,NIBIO
NIBIO/plot_12_annotated,7866181,3053159,26,80,103.80879965098576,26,80,45,17,28,9,0.3777777777777777,0.6538461538461539,0.4788732394366197,0.7937185916416052,0.8155874597128626,16,64,10,0.2,0.6153846153846154,0.3018867924528302,0.7913359140006331,0.8124976487373465,dev,NIBIO
NIBIO/plot_11_annotated,6374998,2968124,29,64,88.61121408082545,29,64,46,17,29,12,0.3695652173913043,0.5862068965517241,0.4533333333333333,0.7606524536253361,0.753654097041568,15,49,14,0.234375,0.5172413793103449,0.3225806451612903,0.7579028101023108,0.753389248117952,dev,NIBIO
